name,SC_r,centroid,varR,kurtosis,anisotropy
x_phase_+12.7_deg.tiff,0.296170,160.479127,11465.487469,1.559135,2.588072e-05
x_phase_+12.8_deg.tiff,0.275783,169.866337,11803.808737,1.539563,4.636962e-05
x_phase_+12.9_deg.tiff,0.339478,149.115188,11457.520357,1.488156,1.789770e-05
x_phase_+13.0_deg.tiff,0.264384,172.300963,11671.833711,1.584420,4.246362e-05
x_phase_+13.1_deg.tiff,0.295433,160.188705,11400.373438,1.515433,2.606164e-05
x_phase_+13.2_deg.tiff,0.265179,169.683407,11405.493471,1.586748,3.499566e-05
x_phase_+13.3_deg.tiff,0.303433,161.278007,11892.873803,1.483042,3.015884e-05
x_phase_+13.4_deg.tiff,0.274531,167.225558,11533.043405,1.548581,2.679994e-05
x_phase_+13.5_deg.tiff,0.270160,169.648289,11647.494276,1.529679,4.800713e-05
x_phase_+13.6_deg.tiff,0.283948,162.443474,11306.035883,1.539328,2.425714e-05
x_phase_+13.7_deg.tiff,0.257267,174.014612,11783.260055,1.561310,4.631659e-05
x_phase_+13.8_deg.tiff,0.391664,136.285309,11206.401263,1.528534,1.987712e-05
x_phase_+13.9_deg.tiff,0.244858,175.758137,11555.683829,1.590206,4.001995e-05
x_phase_+14.0_deg.tiff,0.278757,165.540480,11678.585742,1.499564,3.287396e-05
x_phase_+14.1_deg.tiff,0.246184,173.429913,11380.605915,1.583856,3.561048e-05
x_phase_+14.2_deg.tiff,0.270589,169.820853,11970.997738,1.484598,3.967926e-05
x_phase_+14.3_deg.tiff,0.285542,162.589438,11653.091853,1.511401,2.021541e-05
x_phase_+14.4_deg.tiff,0.247250,176.016422,11872.249077,1.539191,4.724171e-05
x_phase_+14.5_deg.tiff,0.268531,164.481358,11210.120796,1.512435,2.327013e-05
x_phase_+14.6_deg.tiff,0.235308,178.186356,11687.139321,1.569530,4.279632e-05
x_phase_+14.7_deg.tiff,0.309062,156.078524,11727.854917,1.489694,2.180994e-05
x_phase_+14.8_deg.tiff,0.231029,177.866234,11559.835172,1.558696,3.780589e-05
x_phase_+14.9_deg.tiff,0.258449,171.039085,11876.092265,1.496139,3.944854e-05
x_phase_+15.0_deg.tiff,0.238113,172.950583,11364.931881,1.561800,3.046036e-05
x_phase_+15.1_deg.tiff,0.236385,178.118621,11964.066004,1.508905,4.634374e-05
x_phase_+15.2_deg.tiff,0.286098,159.894578,11574.817488,1.506734,2.123560e-05
x_phase_+15.3_deg.tiff,0.226532,179.927775,11926.436336,1.528962,4.022498e-05
x_phase_+15.4_deg.tiff,0.259535,166.789879,11526.777030,1.477507,2.461692e-05
x_phase_+15.5_deg.tiff,0.222801,179.446921,11748.202889,1.545618,3.791539e-05
x_phase_+15.6_deg.tiff,0.252783,172.755605,12149.001569,1.470464,3.245537e-05
x_phase_+15.7_deg.tiff,0.235445,174.830833,11707.844754,1.507715,3.028177e-05
x_phase_+15.8_deg.tiff,0.241093,175.868270,12146.167842,1.474241,4.061278e-05
x_phase_+15.9_deg.tiff,0.240674,172.241112,11671.227481,1.504195,3.191781e-05
x_phase_+16.0_deg.tiff,0.229000,178.985869,12033.787209,1.487257,4.012346e-05
x_phase_+16.1_deg.tiff,0.298953,157.826777,11825.145854,1.478923,2.542168e-05
x_phase_+16.2_deg.tiff,0.231628,177.335797,12141.558231,1.483167,3.517173e-05
x_phase_+16.3_deg.tiff,0.269726,165.858645,12027.214781,1.453483,2.906339e-05
x_phase_+16.4_deg.tiff,0.239762,174.196918,11961.741450,1.467632,3.627262e-05
x_phase_+16.5_deg.tiff,0.249245,173.723755,12285.687106,1.442265,3.402420e-05
x_phase_+16.6_deg.tiff,0.263905,167.742339,12106.534968,1.465473,2.814917e-05
x_phase_+16.7_deg.tiff,0.246957,173.276964,12215.162819,1.440780,3.382531e-05
x_phase_+16.8_deg.tiff,0.274402,164.504865,12039.010417,1.463508,2.686962e-05
x_phase_+16.9_deg.tiff,0.253547,172.786461,12408.771458,1.422121,3.268553e-05
x_phase_+17.0_deg.tiff,0.298985,158.900910,12051.389269,1.448056,2.291915e-05
x_phase_+17.1_deg.tiff,0.266851,169.972947,12514.877543,1.412980,3.211723e-05
x_phase_+17.2_deg.tiff,0.297255,160.011676,12278.103604,1.473887,2.594062e-05
x_phase_+17.3_deg.tiff,0.276672,165.388436,12179.572991,1.424319,2.978197e-05
x_phase_+17.4_deg.tiff,0.279359,166.833572,12476.260829,1.393844,3.205683e-05
x_phase_+17.5_deg.tiff,0.315439,155.524533,12312.132353,1.511379,2.360865e-05
x_phase_+17.6_deg.tiff,0.281399,166.211176,12537.384837,1.396595,3.109575e-05
x_phase_+17.7_deg.tiff,0.336904,149.296855,11886.616452,1.509536,2.323873e-05
x_phase_+17.8_deg.tiff,0.290034,164.580763,12650.397897,1.408449,3.290055e-05
x_phase_+17.9_deg.tiff,0.315863,156.406288,12323.431351,1.453964,2.304004e-05
x_phase_+18.0_deg.tiff,0.299799,161.195966,12429.639907,1.407806,2.904212e-05
x_phase_+18.1_deg.tiff,0.312169,157.968466,12444.312273,1.446843,2.612363e-05
x_phase_+18.2_deg.tiff,0.306700,159.721759,12552.618856,1.438368,2.553895e-05
x_phase_+18.3_deg.tiff,0.302359,160.527201,12371.610438,1.393973,3.205505e-05
x_phase_+18.4_deg.tiff,0.346760,147.624253,11987.422218,1.521288,2.630077e-05
x_phase_+18.5_deg.tiff,0.296204,163.478113,12695.352404,1.399518,3.274627e-05
x_phase_+18.6_deg.tiff,0.361259,145.175071,11979.447528,1.519797,2.715761e-05
x_phase_+18.7_deg.tiff,0.296827,162.703891,12597.549728,1.398474,3.071421e-05
x_phase_+18.8_deg.tiff,0.316444,156.394311,12286.538656,1.437869,3.123702e-05
x_phase_+18.9_deg.tiff,0.302611,160.026979,12422.540217,1.433373,2.973247e-05
x_phase_+19.0_deg.tiff,0.308087,158.937537,12400.957148,1.424056,3.029072e-05
x_phase_+19.1_deg.tiff,0.310026,159.321845,12555.279770,1.427836,2.948971e-05
x_phase_+19.2_deg.tiff,0.291960,163.415069,12494.097507,1.406200,3.458412e-05
x_phase_+19.3_deg.tiff,0.315301,156.410872,12207.932703,1.414876,3.240125e-05
x_phase_+19.4_deg.tiff,0.285250,164.887425,12455.526914,1.417224,3.029981e-05
x_phase_+19.5_deg.tiff,0.338543,149.811324,11956.226913,1.470157,2.842142e-05
x_phase_+19.6_deg.tiff,0.276787,167.732141,12566.878752,1.398060,3.551684e-05
x_phase_+19.7_deg.tiff,0.283005,164.410612,12224.149054,1.412518,3.869900e-05
x_phase_+19.8_deg.tiff,0.280738,164.876275,12354.312320,1.438641,3.581167e-05
x_phase_+19.9_deg.tiff,0.265675,168.659512,12207.500133,1.432555,3.232014e-05
x_phase_+2.0_deg.tiff,0.226963,177.202640,11734.738464,1.504626,2.823724e-05
x_phase_+2.1_deg.tiff,0.261987,168.045933,12049.807884,1.484306,2.510299e-05
x_phase_+2.2_deg.tiff,0.235926,173.793620,11640.151945,1.499166,2.323437e-05
x_phase_+2.3_deg.tiff,0.244377,174.944694,12172.339037,1.444940,3.220070e-05
x_phase_+2.4_deg.tiff,0.276886,162.864868,11848.469294,1.481539,2.163169e-05
x_phase_+2.5_deg.tiff,0.247504,173.686517,12240.777291,1.446718,2.847634e-05
x_phase_+2.6_deg.tiff,0.290073,160.352066,11977.642026,1.455869,2.287872e-05
x_phase_+2.7_deg.tiff,0.252518,171.437125,12161.859543,1.449068,2.409524e-05
x_phase_+2.8_deg.tiff,0.287432,162.894045,12287.815751,1.437059,2.387689e-05
x_phase_+2.9_deg.tiff,0.280009,164.226362,12141.617397,1.436290,2.141150e-05
x_phase_+20.0_deg.tiff,0.305388,157.164787,11984.824512,1.440383,2.679483e-05
x_phase_+20.1_deg.tiff,0.255239,172.287379,12374.986521,1.434612,3.391420e-05
x_phase_+20.2_deg.tiff,0.273653,165.340780,12014.412117,1.416146,3.241833e-05
x_phase_+20.3_deg.tiff,0.247296,173.624057,12205.216516,1.449756,3.919995e-05
x_phase_+20.4_deg.tiff,0.278375,162.933343,11880.635764,1.467881,2.883737e-05
x_phase_+20.5_deg.tiff,0.248630,173.449774,12253.887484,1.447952,4.228171e-05
x_phase_+20.6_deg.tiff,0.244429,172.916432,11827.905446,1.473146,3.774798e-05
x_phase_+20.7_deg.tiff,0.257765,169.214976,11964.675060,1.447177,3.654209e-05
x_phase_+20.8_deg.tiff,0.230884,178.193551,11966.832807,1.494709,3.671921e-05
x_phase_+20.9_deg.tiff,0.325358,151.372986,11593.747000,1.492211,2.361526e-05
x_phase_+21.0_deg.tiff,0.231042,179.133829,12148.331346,1.481708,4.468902e-05
x_phase_+21.1_deg.tiff,0.257342,168.716865,11755.717325,1.468797,3.132577e-05
x_phase_+21.2_deg.tiff,0.237472,176.782662,12071.758933,1.481822,5.089938e-05
x_phase_+21.3_deg.tiff,0.253827,171.419090,11904.927170,1.490927,2.696955e-05
x_phase_+21.4_deg.tiff,0.272476,167.208668,12117.258682,1.459543,3.161670e-05
x_phase_+21.5_deg.tiff,0.228827,177.788904,11706.320713,1.542481,3.677031e-05
x_phase_+21.6_deg.tiff,0.260681,168.830395,11779.166769,1.475669,3.347881e-05
x_phase_+21.7_deg.tiff,0.230996,179.623235,11940.736728,1.532010,4.360171e-05
x_phase_+21.8_deg.tiff,0.341640,147.986847,11547.930256,1.511057,1.936485e-05
x_phase_+21.9_deg.tiff,0.242675,176.796826,12019.551109,1.488639,4.915512e-05
x_phase_+22.0_deg.tiff,0.258211,168.553503,11531.525661,1.538946,2.797588e-05
x_phase_+22.1_deg.tiff,0.256742,171.473466,11846.667210,1.488846,4.645021e-05
x_phase_+22.2_deg.tiff,0.243950,175.282222,11724.467367,1.540016,3.217229e-05
x_phase_+22.3_deg.tiff,0.290703,162.359172,11911.877045,1.470353,2.724116e-05
x_phase_+22.4_deg.tiff,0.240931,176.940650,11843.535266,1.540046,4.083818e-05
x_phase_+22.5_deg.tiff,0.273108,164.610216,11480.308250,1.501024,2.444180e-05
x_phase_+22.6_deg.tiff,0.250522,174.805213,11896.333119,1.520042,4.889208e-05
x_phase_+22.7_deg.tiff,0.288802,162.094745,11720.665671,1.510002,1.843550e-05
x_phase_+22.8_deg.tiff,0.264051,171.014521,11911.768613,1.483498,4.656000e-05
x_phase_+22.9_deg.tiff,0.259043,170.032889,11613.249781,1.569482,2.821900e-05
x_phase_+23.0_deg.tiff,0.269338,168.220078,11728.593942,1.504109,4.183840e-05
x_phase_+23.1_deg.tiff,0.251719,174.829572,11757.417816,1.558928,3.799441e-05
x_phase_+23.2_deg.tiff,0.317803,155.745085,11846.478852,1.482968,2.226952e-05
x_phase_+23.3_deg.tiff,0.259800,173.462831,11995.296965,1.528124,4.477364e-05
x_phase_+23.4_deg.tiff,0.297783,159.136396,11588.350431,1.517171,1.983666e-05
x_phase_+23.5_deg.tiff,0.266208,170.821916,11805.931640,1.513579,4.946121e-05
x_phase_+23.6_deg.tiff,0.265926,169.768756,11702.633269,1.571429,2.411099e-05
x_phase_+23.7_deg.tiff,0.285876,165.131237,11856.317914,1.482979,3.974840e-05
x_phase_+23.8_deg.tiff,0.268018,169.119393,11700.605900,1.553679,3.095655e-05
x_phase_+23.9_deg.tiff,0.283095,164.970801,11696.382309,1.514595,3.403152e-05
x_phase_+24.0_deg.tiff,0.263359,171.794613,11752.035387,1.556869,3.709310e-05
x_phase_+24.1_deg.tiff,0.314299,156.669764,11819.342458,1.494904,1.807595e-05
x_phase_+24.2_deg.tiff,0.267805,170.648106,11813.487022,1.532860,4.108701e-05
