name,SC_r,centroid,varR,kurtosis,anisotropy
x_phase_+4.1_deg.tiff,0.388806,142.428800,12501.048959,1.478314,2.382557e-05
x_phase_+4.2_deg.tiff,0.475774,119.079906,10924.154874,1.896526,2.313524e-05
x_phase_+4.3_deg.tiff,0.408694,138.018128,12385.874790,1.485899,2.449915e-05
x_phase_+4.4_deg.tiff,0.491859,115.779521,10790.582029,1.983589,2.345317e-05
x_phase_+4.5_deg.tiff,0.435164,131.361382,11985.625449,1.574792,2.209545e-05
x_phase_+4.6_deg.tiff,0.451423,126.136420,11557.786101,1.672901,2.219267e-05
x_phase_+4.7_deg.tiff,0.471615,122.310417,11420.054687,1.770633,2.143605e-05
x_phase_+4.8_deg.tiff,0.441444,131.636417,12205.710726,1.539661,2.551131e-05
x_phase_+4.9_deg.tiff,0.528286,109.187292,10427.132434,2.167277,2.339067e-05
x_phase_+5.0_deg.tiff,0.436573,133.171814,12264.398729,1.532252,2.777582e-05
x_phase_+5.1_deg.tiff,0.511695,110.929326,10307.368205,2.058461,2.369187e-05
x_phase_+5.2_deg.tiff,0.443219,130.816034,12104.892647,1.570249,2.511146e-05
x_phase_+5.3_deg.tiff,0.483561,119.591666,11283.189964,1.854112,2.096068e-05
x_phase_+5.4_deg.tiff,0.440602,130.136247,11948.472391,1.611707,2.191519e-05
x_phase_+5.5_deg.tiff,0.428281,132.288608,11915.572025,1.550973,2.422542e-05
x_phase_+5.6_deg.tiff,0.466586,121.866764,11254.826920,1.835649,2.269443e-05
x_phase_+5.7_deg.tiff,0.400195,139.662383,12457.090302,1.486864,2.349955e-05
x_phase_+5.8_deg.tiff,0.513820,110.165119,10138.338879,2.153778,2.624530e-05
x_phase_+5.9_deg.tiff,0.380678,143.862697,12452.267680,1.467972,2.421200e-05
x_phase_+6.0_deg.tiff,0.419412,132.159602,11534.851234,1.605991,2.337685e-05
x_phase_+6.1_deg.tiff,0.370843,144.846930,12278.955788,1.482481,2.264909e-05
x_phase_+6.2_deg.tiff,0.374845,142.436608,11941.812592,1.508914,1.990295e-05
x_phase_+6.3_deg.tiff,0.373240,142.817730,11924.584552,1.514524,2.164170e-05
x_phase_+6.4_deg.tiff,0.335819,152.015496,12235.802434,1.442840,2.218427e-05
x_phase_+6.5_deg.tiff,0.362961,144.440024,11869.621991,1.493284,2.454136e-05
x_phase_+6.6_deg.tiff,0.309525,158.246741,12386.058535,1.425386,2.360239e-05
x_phase_+6.7_deg.tiff,0.383773,136.662503,11131.627833,1.627607,2.551749e-05
x_phase_+6.8_deg.tiff,0.286555,163.753410,12325.663845,1.416742,2.564275e-05
x_phase_+6.9_deg.tiff,0.292542,160.246343,12015.458423,1.435505,2.353106e-05
x_phase_+7.0_deg.tiff,0.281092,164.258919,12186.178108,1.415035,2.833023e-05
x_phase_+7.1_deg.tiff,0.261407,168.353345,12039.769971,1.446210,2.286097e-05
x_phase_+7.2_deg.tiff,0.311400,154.704841,11793.435951,1.482207,2.403407e-05
x_phase_+7.3_deg.tiff,0.243838,173.937062,12208.577450,1.454209,2.683932e-05
x_phase_+7.4_deg.tiff,0.275775,162.761595,11705.436175,1.441352,2.347059e-05
x_phase_+7.5_deg.tiff,0.232739,176.673349,12021.759110,1.480999,3.039541e-05
x_phase_+7.6_deg.tiff,0.269479,165.169088,11813.968929,1.481673,2.170217e-05
x_phase_+7.7_deg.tiff,0.244267,174.061341,12043.427967,1.455333,2.939446e-05
x_phase_+7.8_deg.tiff,0.229221,174.894732,11606.001018,1.521602,2.380863e-05
x_phase_+7.9_deg.tiff,0.248795,170.688843,11727.026298,1.469350,2.916000e-05
x_phase_+8.0_deg.tiff,0.218242,179.824821,11662.111110,1.544391,2.885935e-05
x_phase_+8.1_deg.tiff,0.322012,151.510760,11473.134630,1.503418,2.531992e-05
x_phase_+8.2_deg.tiff,0.220407,180.138838,11784.649436,1.538567,3.378786e-05
x_phase_+8.3_deg.tiff,0.261670,166.240867,11557.038212,1.502553,2.333637e-05
x_phase_+8.4_deg.tiff,0.227939,177.585674,11558.998022,1.537828,3.688565e-05
x_phase_+8.5_deg.tiff,0.239413,174.923454,11719.548337,1.543249,2.452587e-05
x_phase_+8.6_deg.tiff,0.260378,170.187196,11835.478457,1.483270,2.859492e-05
x_phase_+8.7_deg.tiff,0.235113,174.896215,11382.102954,1.569474,2.863889e-05
x_phase_+8.8_deg.tiff,0.264785,166.766873,11483.556454,1.511204,2.409028e-05
x_phase_+8.9_deg.tiff,0.230684,178.496009,11522.893436,1.586722,3.755753e-05
x_phase_+9.0_deg.tiff,0.301858,158.510945,11607.935478,1.483306,2.070325e-05
x_phase_+9.1_deg.tiff,0.245999,175.477413,11703.818668,1.543388,4.007704e-05
x_phase_+9.2_deg.tiff,0.273600,165.448736,11560.822892,1.548039,2.640888e-05
x_phase_+9.3_deg.tiff,0.256299,171.316961,11464.467214,1.534527,3.822227e-05
x_phase_+9.4_deg.tiff,0.253502,172.612175,11501.981264,1.571766,3.064590e-05
x_phase_+9.5_deg.tiff,0.291336,161.703266,11693.991411,1.507158,2.560696e-05
x_phase_+9.6_deg.tiff,0.253850,172.932086,11526.021966,1.569534,3.883640e-05
